9: 0,8888
1,113
2,295
3,0
4,0
5,0
6,0
7,0
8,0
9+,0
total,9296
12: 0,8920
1,110
2,286
3,0
4,0
5,0
6,0
7,0
8,0
9+,0
total,9316
18: 0,8921
1,113
2,284
3,0
4,0
5,0
6,0
7,0
8,0
9+,0
total,9318
24: 0,8919
1,111
2,286
3,0
4,0
5,0
6,0
7,0
8,0
9+,0
total,9316
30: 0,8915
1,110
2,288
3,0
4,0
5,0
6,0
7,0
8,0
9+,0
total,9313
33: 0,8917
1,106
2,290
3,0
4,0
5,0
6,0
7,0
8,0
9+,0
total,9313
