duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.000000,-0.250000,0.000000,0.000000,0.000000,0.128156,-0.143816,0.067446,-0.012444,0.400000,0.000000,0.000000,0.000000,-0.007297,0.006263,-0.002554,0.000426,0.500000,0.000000,0.000000,0.000000,0.035004,-0.036571,0.016614,-0.003002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.210659,0.111107,0.081128,-0.012176,-0.014792,0.012669,-0.005527,0.001015,0.396838,-0.010216,-0.010518,-0.002732,0.000613,-0.000383,0.000084,-0.000001,0.512045,0.035829,0.030474,0.001502,-0.003725,0.003005,-0.001222,0.000209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.037237,0.214947,0.020928,-0.019698,0.001148,-0.001096,0.001041,-0.000192,0.373685,-0.038414,-0.017625,-0.002460,-0.000070,-0.000115,0.000384,-0.000082,0.578116,0.095541,0.028749,-0.000456,0.000303,-0.000144,-0.000091,0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.179840,0.201716,-0.030672,-0.011990,0.004542,-0.001178,0.000197,0.000048,0.315303,-0.080168,-0.022532,0.000928,0.002253,-0.000464,-0.000281,0.000100,0.702038,0.151758,0.026820,-0.001793,-0.001071,0.000263,0.000023,-0.000025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.342503,0.118195,-0.047211,0.000014,0.003286,-0.000955,-0.000072,0.000072,0.215139,-0.116744,-0.012988,0.003177,-0.000785,0.000081,0.000116,-0.000039,0.878012,0.197011,0.017466,-0.003857,-0.000280,0.000113,-0.000019,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.415832,0.032258,-0.036567,0.004691,-0.000047,-0.000118,0.000114,-0.000027,0.087957,-0.135502,-0.006440,0.001796,-0.000010,0.000018,0.000064,-0.000011,1.088447,0.219705,0.005063,-0.004226,-0.000001,0.000004,-0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.416137,-0.027086,-0.022812,0.004660,0.000131,-0.000005,-0.000025,0.000007,-0.052129,-0.142640,-0.000212,0.002817,0.000641,-0.000145,-0.000042,0.000019,1.308993,0.217171,-0.007576,-0.004183,0.000027,0.000004,-0.000006,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.371007,-0.058329,-0.008318,0.004887,-0.000016,0.000010,-0.000014,0.000015,-0.191689,-0.132885,0.010422,0.003779,-0.000030,-0.000005,-0.000002,0.000014,1.514433,0.189580,-0.019962,-0.004071,0.000040,-0.000037,0.000034,-0.000026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.309243,-0.060293,0.006462,0.005181,0.000359,-0.000178,0.000391,-0.000268,-0.310396,-0.100758,0.021808,0.004083,0.000426,-0.000194,0.000448,-0.000325,1.679991,0.137443,-0.032336,-0.004504,-0.000538,0.000246,-0.000568,0.000414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.260897,-0.030815,0.022599,0.003251,-0.004070,0.000114,-0.005402,0.003427,-0.384907,-0.043739,0.034586,0.001457,-0.005177,0.000051,-0.006549,0.004278,1.780148,0.057830,-0.046430,-0.001047,0.006681,-0.000038,0.008347,-0.005493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
