duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.000000,0.250000,0.000000,0.000000,0.000000,-0.078177,0.085906,-0.039924,0.007323,0.400000,0.000000,0.000000,0.000000,-0.029890,0.032222,-0.014850,0.002709,1.900000,0.000000,0.000000,0.000000,-0.031931,0.033836,-0.015473,0.002809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.225128,-0.071459,-0.055073,0.004186,0.008806,-0.007406,0.003148,-0.000563,0.390191,-0.028585,-0.022974,0.000487,0.003296,-0.002733,0.001150,-0.000204,1.889240,-0.031724,-0.026345,-0.000526,0.003456,-0.002829,0.001180,-0.000208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.106767,-0.155908,-0.028348,0.008596,-0.000717,0.000504,-0.000188,0.000031,0.340629,-0.068080,-0.016103,0.002195,-0.000264,0.000182,-0.000067,0.000011,1.832243,-0.080692,-0.022151,0.001320,-0.000276,0.000192,-0.000082,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.069264,-0.188077,-0.003995,0.008089,0.000066,-0.000010,-0.000077,0.000010,0.258502,-0.094176,-0.010064,0.001996,0.000020,0.000001,-0.000026,0.000005,1.730572,-0.121553,-0.018815,0.001059,0.000012,-0.000031,0.000069,-0.000014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.253258,-0.171976,0.019631,0.007077,-0.000776,0.000294,-0.000236,0.000017,0.156259,-0.108348,-0.004224,0.001747,-0.000188,0.000019,0.000010,0.000005,1.591298,-0.155801,-0.015143,0.001679,0.000398,-0.000089,-0.000028,0.000013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.399228,-0.114416,0.035962,0.002792,-0.002245,0.000536,-0.000006,-0.000041,0.045279,-0.112118,0.000339,0.001571,0.000244,0.000064,-0.000167,0.000040,1.422327,-0.179982,-0.008756,0.002279,-0.000005,-0.000017,0.000014,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.476646,-0.040743,0.035263,-0.002407,-0.001112,0.000358,-0.000001,-0.000018,-0.064749,-0.106157,0.005482,0.001233,-0.000554,0.000102,0.000056,-0.000022,1.235855,-0.190706,-0.001987,0.002244,-0.000002,0.000003,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.485305,0.019774,0.024559,-0.003927,0.000027,0.000029,-0.000028,0.000007,-0.164609,-0.093022,0.007242,0.000365,0.000005,0.000028,-0.000022,0.000005,1.045406,-0.187947,0.004748,0.002246,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.444864,0.057247,0.012962,-0.003836,0.000002,-0.000005,0.000003,-0.000000,-0.250008,-0.077376,0.008432,0.000414,0.000003,-0.000006,0.000003,-0.000001,0.864452,-0.171714,0.011486,0.002247,0.000001,-0.000002,0.000001,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.378491,0.071664,0.001461,-0.003819,0.000020,-0.000020,0.000021,-0.000016,-0.318537,-0.059271,0.009668,0.000404,-0.000009,0.000008,-0.000007,0.000006,0.706471,-0.142006,0.018211,0.002222,-0.000023,0.000021,-0.000021,0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.309180,0.063127,-0.010087,-0.004063,-0.000309,0.000153,-0.000348,0.000244,-0.367738,-0.038719,0.010923,0.000510,0.000128,-0.000054,0.000127,-0.000096,0.584892,-0.098910,0.024996,0.002520,0.000364,-0.000162,0.000377,-0.000279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.260463,0.029911,-0.022700,-0.002195,0.003770,-0.000078,0.004903,-0.003147,-0.394920,-0.015016,0.012557,-0.000358,-0.001615,-0.000013,-0.001944,0.001309,0.513798,-0.040404,0.032915,0.000132,-0.004554,0.000004,-0.005619,0.003726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
