duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.000000,0.000000,0.000000,0.000000,0.000000,0.088572,-0.098110,0.045755,-0.008412,-0.800000,0.000000,0.000000,0.000000,0.013324,-0.012058,0.005082,-0.000871,1.200000,0.000000,0.000000,0.000000,-0.039470,0.044390,-0.020837,0.003847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.027805,0.079384,0.060005,-0.006131,-0.010070,0.008530,-0.003665,0.000663,-0.794523,0.017402,0.017310,0.003888,-0.001202,0.000834,-0.000273,0.000035,1.187930,-0.034023,-0.024688,0.003923,0.004567,-0.003918,0.001712,-0.000315,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.156522,0.166022,0.025438,-0.011210,0.000805,-0.000648,0.000422,-0.000077,-0.756529,0.061658,0.026751,0.003200,0.000112,0.000039,-0.000255,0.000049,1.135188,-0.064883,-0.005623,0.006241,-0.000354,0.000342,-0.000330,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.337275,0.185243,-0.005126,-0.008720,0.001204,-0.000304,0.000047,0.000013,-0.664975,0.124218,0.034623,0.000662,-0.001796,0.000472,-0.000070,-0.000021,1.070643,-0.058661,0.010734,0.003790,-0.001450,0.000373,-0.000054,-0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.509632,0.152498,-0.026130,-0.005559,0.000834,-0.000213,-0.000086,0.000042,-0.506886,0.190063,0.029073,-0.003921,-0.001207,0.000365,0.000002,-0.000018,1.025358,-0.030199,0.015971,0.000047,-0.000991,0.000292,0.000019,-0.000021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.631018,0.085608,-0.040349,-0.004617,-0.000065,-0.000168,0.000473,-0.000093,-0.292530,0.233329,0.013370,-0.005692,0.000011,-0.000005,0.000102,-0.000018,1.010476,-0.000653,0.012932,-0.001349,0.000021,0.000031,-0.000027,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.671807,-0.007857,-0.051137,-0.000367,0.002920,-0.000724,-0.000003,0.000057,-0.051432,0.243501,-0.002534,-0.004284,0.000888,-0.000230,0.000008,0.000015,1.021438,0.021285,0.009051,-0.001266,0.000003,-0.000007,0.000004,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.614696,-0.102794,-0.040813,0.005997,0.001240,-0.000415,0.000013,0.000018,0.185932,0.228137,-0.011919,-0.002340,0.000389,-0.000128,0.000002,0.000006,1.050507,0.035586,0.005249,-0.001269,-0.000001,0.000001,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.477941,-0.163343,-0.018970,0.007678,-0.000029,-0.000034,0.000031,-0.000009,0.400080,0.198251,-0.017726,-0.001812,-0.000011,-0.000008,0.000007,-0.000001,1.090072,0.042275,0.001440,-0.001270,0.000001,0.000000,0.000001,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.303265,-0.178413,0.003827,0.007532,-0.000042,0.000054,-0.000043,0.000033,0.578781,0.157321,-0.023211,-0.001816,0.000031,-0.000016,0.000030,-0.000020,1.132519,0.041352,-0.002358,-0.001261,0.000000,-0.000011,-0.000003,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.136213,-0.148088,0.026756,0.008193,0.000733,-0.000352,0.000762,-0.000537,0.711100,0.105534,-0.028602,-0.001947,-0.000292,0.000131,-0.000364,0.000276,1.170234,0.032752,-0.006375,-0.001557,-0.000221,0.000096,-0.000162,0.000113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.023679,-0.068012,0.052366,0.004049,-0.008395,0.000143,-0.010812,0.006981,0.785835,0.041721,-0.034552,0.000574,0.004566,0.000019,0.005553,-0.003717,1.194880,0.014749,-0.011459,-0.000750,0.001797,-0.000024,0.002296,-0.001489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
