9,0.0143776,0.00934967,0.00777022,0.00382117
10,0.0145677,0.0095831,0.00761966,0.00390894
11,0.0158247,0.0111142,0.00827141,0.00312984
12,0.0156254,0.0115383,0.00756981,0.00379472
13,0.0147314,0.00964011,0.00821202,0.00421278
16,0.0159474,0.00978137,0.00927124,0.00352233
17,0.0146474,0.00970176,0.00812147,0.00379457
18,0.015718,0.0112591,0.00803068,0.00248421
19,0.0156116,0.0105669,0.00774266,0.00486827
20,0.0180591,0.0113994,0.0104104,0.00472722
23,0.0156401,0.0106421,0.0078583,0.00459075
24,0.0157958,0.00935705,0.00952892,0.00416951
25,0.0138233,0.00847742,0.0079645,0.00356014
26,0.0173224,0.0110551,0.0101999,0.00332505
27,0.0173653,0.0110116,0.0100482,0.00406091
30,0.015409,0.00982771,0.00910458,0.00348662
31,0.0206987,0.013245,0.0113079,0.00534048
32,0.0169602,0.0104311,0.0106345,0.00301003
33,0.0152838,0.0102296,0.00864301,0.00275308
34,0.0151268,0.00927506,0.00873768,0.00482984
37,0.0240232,0.0151156,0.0153938,0.00343973
38,0.0170283,0.011478,0.00868742,0.00552928
39,0.0173642,0.0121363,0.00882885,0.00403239
40,0.0161855,0.0127061,0.00769696,0.00260596
41,0.0241435,0.0168092,0.0128652,0.00400941
