duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.000000,0.500000,0.000000,0.000000,0.000000,0.022958,-0.025701,0.012039,-0.002219,0.500000,0.000000,0.000000,0.000000,0.007115,-0.010638,0.005509,-0.001076,0.500000,0.000000,0.000000,0.000000,-0.009139,0.011947,-0.005935,0.001133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.507077,0.020027,0.014718,-0.002074,-0.002639,0.002247,-0.000962,0.000173,0.500909,0.000785,-0.003666,-0.005419,-0.001115,0.001105,-0.000510,0.000095,0.498007,-0.004493,-0.000580,0.003891,0.001245,-0.001167,0.000534,-0.000101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.538567,0.039360,0.004335,-0.003350,0.000213,-0.000142,0.000033,-0.000001,0.492184,-0.024134,-0.021219,-0.005706,0.000081,-0.000012,-0.000112,0.000045,0.497335,0.007659,0.012777,0.004341,-0.000118,0.000101,-0.000053,0.000013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.579015,0.038314,-0.005378,-0.003286,-0.000032,-0.000057,0.000197,-0.000040,0.441127,-0.083781,-0.038706,-0.006174,-0.000094,-0.000329,0.001011,-0.000207,0.522054,0.046038,0.025569,0.004254,0.000027,-0.000059,0.000098,-0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.608733,0.018189,-0.013885,-0.001450,0.001231,-0.000281,-0.000080,0.000039,0.312847,-0.177120,-0.050267,0.003128,0.006173,-0.001376,-0.000456,0.000214,0.597949,0.110111,0.038682,0.004574,0.000039,0.000217,-0.000632,0.000132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.612496,-0.010624,-0.014054,0.000409,-0.000027,-0.000025,-0.000009,0.000007,0.093141,-0.251701,-0.019959,0.012423,-0.000059,-0.000343,0.000360,-0.000102,0.751071,0.199565,0.048088,-0.001137,-0.003750,0.000788,0.000378,-0.000164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.588173,-0.037740,-0.013219,0.000127,-0.000033,-0.000103,0.000332,-0.000069,-0.166241,-0.254860,0.016776,0.012378,0.000050,0.000360,-0.000962,0.000198,0.994838,0.282387,0.032274,-0.006451,0.000108,0.000408,-0.000852,0.000183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.537468,-0.062936,-0.010535,0.003194,0.002025,-0.000434,-0.000175,0.000090,-0.392301,-0.186565,0.047525,0.003851,-0.005664,0.001267,0.000409,-0.000188,1.302895,0.326222,0.008706,-0.012585,-0.004238,0.000846,0.000433,-0.000226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.468697,-0.068916,0.006117,0.006595,0.000372,-0.000297,0.000540,-0.000338,-0.531666,-0.095146,0.039948,-0.004538,0.000224,0.000222,-0.000123,-0.000044,1.622053,0.294175,-0.044261,-0.020318,-0.001417,0.000929,-0.001824,0.001203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.412770,-0.036015,0.026177,0.004100,-0.004827,0.000165,-0.006433,0.004063,-0.591123,-0.027906,0.027121,-0.005435,-0.002065,-0.000247,-0.001886,0.001539,1.850539,0.141147,-0.106540,-0.011093,0.017954,-0.000436,0.023424,-0.014996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
