duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.000000,0.000000,0.000000,0.000000,0.000000,-0.007077,0.008448,-0.004061,0.000761,-0.500000,0.000000,0.000000,0.000000,0.070471,-0.076425,0.035315,-0.006454,0.500000,0.000000,0.000000,0.000000,-0.022634,0.025362,-0.011885,0.002191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.001929,-0.005109,-0.002921,0.001577,0.000873,-0.000776,0.000342,-0.000063,-0.477094,0.066468,0.052760,-0.001965,-0.007824,0.006518,-0.002754,0.000491,0.493035,-0.019694,-0.014434,0.002089,0.002604,-0.002218,0.000949,-0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.008005,-0.004994,0.003101,0.001952,-0.000076,0.000055,-0.000021,0.000003,-0.363400,0.154300,0.034102,-0.005979,0.000634,-0.000449,0.000186,-0.000035,0.462160,-0.038470,-0.004067,0.003345,-0.000209,0.000135,-0.000023,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.007984,0.006938,0.008816,0.001903,0.000004,0.000008,-0.000025,0.000007,-0.180639,0.205735,0.017547,-0.005421,-0.000030,0.000046,-0.000087,0.000016,0.422869,-0.036884,0.005670,0.003317,0.000038,0.000078,-0.000260,0.000053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.009667,0.030234,0.014397,0.001733,-0.000100,-0.000014,0.000075,-0.000027,0.037166,0.224259,0.000577,-0.006286,-0.000566,0.000173,-0.000053,0.000014,0.394881,-0.016241,0.013839,0.000898,-0.001623,0.000357,0.000107,-0.000052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.055963,0.064010,0.019395,0.001720,-0.000015,0.000174,-0.000481,0.000098,0.255284,0.204935,-0.020452,-0.007399,-0.000015,-0.000186,0.000604,-0.000122,0.392165,0.009702,0.010882,-0.001696,-0.000044,0.000080,-0.000055,0.000013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.140863,0.106561,0.021027,-0.002816,-0.002951,0.000669,0.000205,-0.000097,0.432649,0.143614,-0.038105,-0.001519,0.003833,-0.000869,-0.000266,0.000127,0.411048,0.026364,0.005778,-0.001716,-0.000010,-0.000003,0.000005,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.263461,0.132262,0.002607,-0.007218,0.000079,0.000088,-0.000064,-0.000003,0.539464,0.073126,-0.029678,0.004247,-0.000058,-0.000156,0.000123,-0.000028,0.441465,0.032741,0.000593,-0.001726,0.000008,-0.000008,0.000009,-0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.391213,0.116175,-0.018715,-0.007411,-0.000554,0.000256,-0.000623,0.000444,0.587039,0.026039,-0.017588,0.003939,0.000031,-0.000019,0.000083,-0.000046,0.473076,0.028749,-0.004626,-0.001837,-0.000140,0.000069,-0.000158,0.000111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.480784,0.054946,-0.041733,-0.003990,0.006916,-0.000139,0.008990,-0.005774,0.599480,0.002889,-0.005488,0.003933,-0.000422,0.000137,-0.000993,0.000464,0.495244,0.013599,-0.010329,-0.000988,0.001712,-0.000035,0.002226,-0.001429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
