duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.000000,-0.400000,0.000000,0.000000,0.000000,0.012775,-0.014105,0.006569,-0.001207,0.600000,0.000000,0.000000,0.000000,0.012841,-0.014176,0.006601,-0.001212,1.800000,0.000000,0.000000,-0.000000,-0.000576,0.000684,-0.000328,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.395967,0.011545,0.008800,-0.000797,-0.001443,0.001222,-0.000520,0.000093,0.604054,0.011605,0.008846,-0.000803,-0.001453,0.001227,-0.000523,0.000094,1.799841,-0.000424,-0.000253,0.000116,0.000066,-0.000064,0.000027,-0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.377068,0.024621,0.004120,-0.001496,0.000125,-0.000084,0.000033,-0.000006,0.623047,0.024730,0.004116,-0.001517,0.000124,-0.000083,0.000033,-0.000006,1.799305,-0.000509,0.000152,0.000103,-0.000025,0.000001,-0.000002,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.349754,0.028615,-0.000075,-0.001367,0.000006,-0.000003,0.000006,-0.000006,0.650446,0.028654,-0.000139,-0.001381,0.000012,-0.000001,0.000004,-0.000005,1.799026,0.000004,0.000309,-0.000002,-0.000027,-0.000001,0.000001,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.322578,0.024368,-0.004199,-0.001447,-0.000111,0.000056,-0.000128,0.000090,0.677590,0.024268,-0.004256,-0.001427,-0.000100,0.000056,-0.000128,0.000089,1.799310,0.000510,0.000147,-0.000103,-0.000024,0.000007,-0.000007,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.303950,0.011326,-0.008675,-0.000733,0.001411,-0.000026,0.001819,-0.001173,0.696093,0.011215,-0.008616,-0.000693,0.001393,-0.000026,0.001790,-0.001155,1.799843,0.000419,-0.000251,-0.000113,0.000066,-0.000003,0.000099,-0.000060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
