duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
1.000000,0.000000,0.000000,0.000000,0.000000,-0.257621,0.353834,-0.184971,0.035723,-0.100000,0.000000,0.000000,-0.000000,0.031018,-0.048058,0.026397,-0.005197,1.600000,0.000000,0.000000,-0.000000,0.026135,-0.028867,0.013445,-0.002470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.053035,-0.121080,-0.031771,0.058735,-0.012716,-0.024018,0.019762,-0.004754,-0.095839,0.005789,-0.007643,-0.010445,0.004806,0.002849,-0.003107,0.000798,1.608245,0.023594,0.017964,-0.001655,-0.002956,0.002498,-0.001065,0.000191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.168877,-0.094078,0.024553,-0.003456,-0.002759,0.004993,-0.003033,0.000678,-0.102792,-0.020423,-0.011513,0.003038,0.000359,-0.000859,0.000550,-0.000126,1.646815,0.050167,0.008273,-0.003120,0.000241,-0.000169,0.000063,-0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.241978,-0.054861,0.016308,-0.001486,0.000447,-0.000626,0.000366,-0.000082,-0.131767,-0.034777,-0.003229,0.002480,-0.000089,0.000129,-0.000083,0.000025,1.702260,0.057782,-0.000591,-0.002928,-0.000001,-0.000018,0.000051,-0.000018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.281912,-0.026422,0.012039,-0.001512,-0.000069,0.000085,-0.000040,-0.000005,-0.167311,-0.033824,0.004259,0.002645,0.000199,-0.000108,0.000216,-0.000145,1.756537,0.047900,-0.009176,-0.002723,0.000043,0.000044,-0.000250,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.297836,-0.007004,0.007238,-0.001907,-0.000415,-0.000076,-0.000288,0.000288,-0.194069,-0.016835,0.012495,0.001591,-0.002191,0.000058,-0.002886,0.001837,1.792548,0.021488,-0.016745,-0.001023,0.002603,-0.000049,0.003342,-0.002164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
