t,accx,accy,accz,gyrox,gyroy,gyroz
392166,-0.00292969,-0.00341797,0.993408,-0.277579,-0.0152588,0.207007
392176,-0.00292969,-0.00317383,0.993408,0.271738,0.167847,0.054419
392186,-0.00317383,-0.00292969,0.993408,0.0886321,0.137329,0.237525
392196,-0.00244141,-0.00366211,0.993652,-0.0334382,0.0762939,0.176489
392206,-0.00268555,-0.00390625,0.99292,0.180185,0.0762939,0.0849366
392216,-0.00268555,-0.00341797,0.99292,-0.0334382,0.0152588,0.115454
392226,-0.00292969,-0.00317383,0.993164,0.11915,0.0152588,0.176489
392236,-0.00268555,-0.00317383,0.993164,0.027597,-0.0152588,-0.0371337
392246,-0.00292969,-0.00317383,0.993164,0.11915,0.106812,0.0239015
392256,-0.00268555,-0.00366211,0.993408,0.180185,0.0457764,0.268042
392266,-0.00268555,-0.00341797,0.993164,0.0581145,0.0457764,0.0239015
392276,-0.00292969,-0.00317383,0.993408,0.0886321,0.137329,0.176489
392286,-0.00292969,-0.00292969,0.992676,0.180185,0.0762939,0.207007
392296,-0.00366211,-0.00317383,0.992432,0.0581145,-0.0152588,-0.0371337
392306,-0.00366211,-0.00317383,0.992188,0.0886321,0.167847,-0.128686
392316,-0.00317383,-0.00317383,0.99292,-0.00292063,0.137329,0.054419
392326,-0.00292969,-0.00317383,0.99292,0.180185,0.137329,0.145972
392336,-0.00317383,-0.00292969,0.992432,-0.00292063,0.0457764,0.176489
392346,-0.00341797,-0.00268555,0.992188,-0.00292063,0.106812,0.176489
392356,-0.00341797,-0.00268555,0.992676,-0.00292063,0.0762939,0.145972
392366,-0.00341797,-0.00341797,0.993164,0.027597,0.0152588,0.054419
392376,-0.00317383,-0.00341797,0.99292,0.11915,0.167847,0.115454
392386,-0.00292969,-0.00317383,0.992676,-0.124991,0.0457764,0.0239015
392396,-0.00292969,-0.00317383,0.992676,0.0886321,0.106812,0.145972
392406,-0.00292969,-0.00341797,0.992676,0.11915,0.106812,0.145972
392416,-0.00317383,-0.00317383,0.993164,0.149667,0.0457764,0.115454
392426,-0.00341797,-0.00341797,0.99292,0.180185,0.0762939,0.054419
392436,-0.00390625,-0.00317383,0.993164,0.027597,0.0457764,0.115454
392446,-0.00366211,-0.00317383,0.992432,0.149667,0.228882,0.145972
392456,-0.00366211,-0.00317383,0.992432,-0.00292063,0.137329,0.0849366
392466,-0.00366211,-0.00366211,0.992676,0.0886321,0.0762939,-0.0371337
392476,-0.00292969,-0.00341797,0.99292,0.180185,0.0457764,0.115454
392486,-0.00292969,-0.00341797,0.992676,0.027597,0.0457764,0.054419
392496,-0.00268555,-0.00366211,0.992676,0.027597,0.167847,0.0849366
392506,-0.00244141,-0.00366211,0.99292,0.210702,0.106812,0.115454
392516,-0.00292969,-0.00390625,0.992432,-0.0334382,0.0762939,0.237525
392526,-0.00292969,-0.00415039,0.992188,0.0581145,0.0152588,-0.00661612
392536,-0.00292969,-0.00366211,0.992188,0.149667,0.0457764,0.176489
392546,-0.00341797,-0.00415039,0.991943,0.0581145,0.0457764,0.145972
392556,-0.00341797,-0.00415039,0.992432,-0.0334382,0.0152588,0.207007
392566,-0.00341797,-0.00390625,0.99292,0.0581145,-0.0762939,0.0849366
392576,-0.00317383,-0.00366211,0.993164,-0.00292063,0.0762939,0.145972
392586,-0.00341797,-0.00317383,0.991943,-0.0639558,0.106812,0.0239015
392596,-0.00341797,-0.00317383,0.992188,0.027597,0.0152588,0.145972
392606,-0.00366211,-0.00317383,0.992432,0.11915,0.0457764,0.0239015
392616,-0.00317383,-0.00366211,0.992432,-0.0944734,0.167847,-0.0676513
392626,-0.00292969,-0.00366211,0.992432,0.180185,0.106812,-0.0981688
392636,-0.00292969,-0.00366211,0.992676,0.210702,-0.0152588,0.0239015
392646,-0.00292969,-0.00390625,0.992432,0.0581145,0.106812,0.268042
392656,-0.00317383,-0.00390625,0.992432,-0.0334382,0.0457764,0.0239015
392666,-0.00292969,-0.00390625,0.992676,0.027597,0.0457764,0.145972
392676,-0.00317383,-0.00390625,0.992676,0.0581145,0.106812,0.176489
392686,-0.00317383,-0.00366211,0.991943,0.11915,0.167847,-0.0371337
392696,-0.00268555,-0.00366211,0.992432,0.0886321,0.0152588,0.207007
392706,-0.00292969,-0.00341797,0.991699,0.149667,0.0457764,0.0849366
392716,-0.00317383,-0.00317383,0.991943,0.11915,0.0457764,0.115454
392726,-0.00317383,-0.00317383,0.992188,0.0886321,0.0762939,0.054419
392736,-0.00292969,-0.00317383,0.992188,-0.0639558,0.228882,-0.00661612
392746,-0.00292969,-0.00292969,0.992676,-0.155509,0.0152588,0.176489
392756,-0.00292969,-0.00317383,0.992676,0.0886321,0.167847,0.176489
392766,-0.00292969,-0.00317383,0.992432,-0.00292063,0.137329,0.176489
392776,-0.00268555,-0.00317383,0.99292,0.0886321,0.0762939,-0.0371337
392786,-0.00244141,-0.00292969,0.99292,0.027597,0.0762939,0.329077
392796,-0.00268555,-0.00317383,0.99292,0.027597,0.106812,0.237525
392806,-0.00268555,-0.00341797,0.99292,0.11915,0.106812,0.268042
392816,-0.00317383,-0.00317383,0.99292,0.11915,0.137329,0.237525
392826,-0.00317383,-0.00292969,0.993164,-0.00292063,0.106812,0.237525
392836,-0.00341797,-0.00292969,0.992432,0.149667,0.0762939,0.115454
