t,accx,accy,accz,gyrox,gyroy,gyroz
429067,-0.00146484,-0.00390625,1.00366,-0.0390112,0.033617,-0.106692
429077,-0.00146484,-0.00415039,1.00342,-0.130564,-0.0579357,-0.0151396
429087,-0.0012207,-0.00439453,1.00293,0.0525415,0.0641346,0.015378
429097,-0.00170898,-0.00463867,1.00317,0.113577,0.00309944,0.0764132
429107,-0.00195312,-0.00488281,1.00317,0.0220239,0.00309944,-0.0151396
429117,-0.00146484,-0.00488281,1.00269,0.113577,0.00309944,-0.106692
429137,-0.00219727,-0.00488281,1.00317,-0.0390112,0.0946522,-0.0761747
429147,-0.00170898,-0.00463867,1.00317,-0.161082,0.12517,0.0764132
429157,-0.00195312,-0.00488281,1.00415,0.0525415,0.033617,-0.106692
429177,-0.0012207,-0.00439453,1.00317,0.144094,0.0641346,-0.0151396
429187,-0.000976562,-0.00415039,1.00366,0.0525415,-0.0579357,-0.13721
429207,-0.0012207,-0.00463867,1.00366,0.0830591,-0.118971,0.015378
429217,-0.000732422,-0.00488281,1.00342,-0.0695288,0.00309944,-0.198245
429227,-0.0012207,-0.00439453,1.00366,0.0525415,0.12517,0.106931
429257,-0.000976562,-0.00439453,1.00342,0.0525415,0.0641346,-0.0456572
429267,-0.0012207,-0.00415039,1.00366,-0.00849366,0.033617,-0.13721
429277,-0.000976562,-0.00415039,1.00391,-0.00849366,-0.0274181,0.0458956
429287,-0.000488281,-0.00439453,1.00391,0.0525415,-0.0579357,-0.167727
429297,-0.000976562,-0.00439453,1.00366,0.0220239,-0.0274181,0.106931
429307,-0.000976562,-0.00463867,1.00317,-0.0390112,-0.0274181,-0.198245
429317,-0.000976562,-0.00488281,1.00342,-0.0390112,0.033617,0.0764132
429347,-0.0012207,-0.00415039,1.00342,0.113577,0.00309944,-0.0456572
429357,-0.000976562,-0.00366211,1.00366,0.144094,-0.0579357,-0.0456572
429367,-0.000976562,-0.00390625,1.00293,-0.100046,0.12517,0.0458956
429377,-0.000732422,-0.00415039,1.00391,0.0220239,-0.0579357,-0.0456572
429387,-0.000732422,-0.00415039,1.00391,0.0220239,0.033617,0.015378
429397,-0.000976562,-0.00390625,1.00342,0.0220239,-0.0579357,-0.0761747
429407,-0.0012207,-0.00415039,1.00366,0.0830591,0.00309944,0.167966
429427,-0.000976562,-0.00366211,1.00366,0.0525415,0.00309944,-0.0151396
429457,-0.00146484,-0.00390625,1.00391,-0.00849366,-0.0884533,-0.0151396
429497,-0.00146484,-0.00390625,1.00366,0.113577,0.155687,0.106931
429507,-0.0012207,-0.00439453,1.00317,0.0220239,0.0641346,-0.0761747
429517,-0.0012207,-0.00439453,1.00366,0.174612,0.12517,-0.167727
429537,-0.000976562,-0.00415039,1.00439,-0.0390112,0.0946522,-0.0456572
429557,-0.000732422,-0.00341797,1.00415,0.0220239,0.186205,0.0458956
429567,-0.000976562,-0.00366211,1.00342,0.174612,0.00309944,-0.0761747
429597,-0.00146484,-0.00390625,1.00317,0.205129,0.12517,0.229001
429627,-0.000732422,-0.00439453,1.00317,0.0220239,-0.0274181,-0.0151396
429637,-0.000976562,-0.00439453,1.00366,-0.130564,0.0641346,0.0458956
429647,-0.000976562,-0.00439453,1.00342,0.113577,0.00309944,0.0458956
429657,-0.0012207,-0.00463867,1.00366,-0.00849366,-0.0884533,0.015378
429667,-0.0012207,-0.00463867,1.00439,-0.00849366,-0.0274181,0.0764132
429687,-0.000976562,-0.00463867,1.00391,0.0830591,0.033617,-0.0456572
429707,-0.000732422,-0.00463867,1.00366,0.0220239,0.0946522,0.106931
429717,-0.000976562,-0.00463867,1.00391,0.0525415,-0.0274181,0.0458956
429727,-0.0012207,-0.00439453,1.00415,-0.0695288,0.12517,-0.0151396
429737,-0.0012207,-0.00439453,1.00391,-0.0390112,0.186205,-0.0456572
429757,-0.0012207,-0.00415039,1.00391,0.0220239,0.033617,0.106931
429767,-0.0012207,-0.00415039,1.00415,0.0220239,-0.0579357,0.015378
429777,-0.0012207,-0.00439453,1.00464,0.0830591,0.12517,-0.0151396
