t,accx,accy,accz,gyrox,gyroy,gyroz
10699,-0.000244141,0,1.00098,-0.100046,-0.0274181,-0.0456572
10709,0,-0.000488281,1.00122,0.0220239,-0.0274181,0.015378
10719,0.000244141,-0.000488281,1.00122,-0.00849366,-0.118971,0.0764132
10729,0.000488281,-0.000488281,1.00098,0.0220239,-0.0579357,-0.106692
10739,0.000244141,-0.000244141,1.00098,0.0830591,-0.0274181,0.015378
10749,0.000732422,0,1.00073,-0.191599,0.186205,-0.0151396
10759,0.000732422,0,1.00049,0.0220239,-0.0274181,0.015378
10769,0.000732422,-0.000244141,1.00049,-0.100046,0.033617,0.0458956
10779,0.000732422,0,1.00024,-0.100046,0.033617,-0.0761747
10789,0.000732422,0.000244141,1.00098,0.113577,-0.0579357,0.015378
10799,0.000488281,0,1.00122,-0.130564,-0.0579357,-0.13721
10809,0.000488281,0.000244141,1.00122,-0.0390112,0.155687,0.106931
10819,0.000488281,-0.000244141,1.00122,-0.0695288,0.033617,0.106931
10829,0.000488281,-0.000244141,1.00098,-0.100046,-0.0884533,-0.0761747
10849,0.000488281,0,1.00073,-0.0695288,0.0641346,-0.0456572
10859,0.000244141,0.000244141,1.00098,-0.0390112,0.033617,-0.0151396
10869,0.000244141,0,1.00098,-0.130564,-0.0274181,0.0458956
10879,0.000244141,0,1.00122,-0.0390112,0.033617,-0.0151396
10889,0.000244141,0.000244141,1.00098,-0.0695288,-0.0579357,0.015378
10899,0,0.000244141,1,-0.0390112,0.0641346,-0.13721
10909,0,0.000244141,0.999756,-0.0390112,0.033617,-0.0151396
10919,0,-0.000244141,1.00024,0.0525415,-0.0274181,-0.0151396
10929,0.000244141,-0.000244141,1.00073,-0.00849366,-0.0579357,0.015378
10939,0.000244141,0,1.00098,-0.100046,-0.210524,-0.106692
10949,0.000244141,-0.000244141,1.00049,-0.0695288,-0.149488,0.106931
10969,-0.000488281,0,1.00122,-0.00849366,-0.0274181,0.0458956
10979,-0.000244141,-0.000244141,1.00146,0.0830591,-0.0274181,0.0458956
10989,-0.000244141,-0.000244141,1.00171,-0.00849366,-0.0274181,-0.228763
10999,-0.000488281,-0.000244141,1.00195,0.0220239,-0.210524,0.0458956
11009,-0.000732422,-0.000244141,1.00122,-0.0390112,-0.0579357,-0.0151396
11019,-0.000488281,0,1.00146,-0.130564,0.0641346,-0.0456572
11029,0,0,1.00098,-0.00849366,0.00309944,-0.0456572
11049,-0.000244141,-0.000732422,1.00146,0.0525415,0.033617,-0.106692
11059,-0.000488281,-0.000976562,1.00171,0.0220239,-0.0274181,-0.0151396
11069,-0.000244141,-0.000732422,1.00146,0.113577,-0.149488,-0.13721
11099,-0.000244141,-0.000488281,1.00073,-0.100046,0.00309944,-0.0456572
11109,0.000244141,0,1.00122,0.0525415,0.00309944,0.0764132
11119,0,0.000244141,1.00098,-0.0695288,-0.0274181,-0.0151396
11149,0,-0.000244141,1,0.0220239,-0.0274181,0.015378
11189,-0.000244141,-0.000732422,1.00049,-0.130564,-0.0274181,0.015378
11199,-0.000244141,-0.000488281,1.00049,0.0220239,0.0641346,-0.0456572
11209,0,0.000244141,1.00098,-0.00849366,0.0641346,-0.0456572
