t,accx,accy,accz,gyrox,gyroy,gyroz
383256,-0.000732422,0,1.00122,0.220627,0.0571012,-0.158995
383266,-0.000732422,0,1.00146,0.00700355,0.0571012,-0.0064075
383356,-0.0012207,-0.000488281,1.00098,0.00700355,-0.0344515,-0.250548
383396,-0.000976562,-0.000488281,1.00098,0.0985563,0.0265837,-0.189513
383516,-0.000732422,-0.000976562,0.999512,0.0985563,-0.126004,-0.0979602
383616,-0.000976562,-0.000488281,1.0022,-0.0845492,-0.0649691,-0.220031
383686,-0.0012207,0,1.00171,0.0985563,-0.00393391,-0.0064075
383706,-0.00170898,-0.000976562,1.00146,0.159591,-0.0954866,-0.0674427
383776,-0.000244141,-0.000732422,1.00171,0.190109,-0.00393391,0.0241101
383846,-0.000732422,-0.000488281,1.0022,-0.023514,-0.0649691,-0.0369251
383856,-0.000488281,-0.000488281,1.00244,-0.023514,-0.0954866,-0.0064075
383946,-0.000488281,-0.000488281,1.00098,0.0985563,-0.0954866,-0.0369251
383956,-0.000732422,-0.000488281,1.00098,0.0985563,-0.0649691,-0.0979602
383966,-0.0012207,0,1.00098,0.0680387,0.0265837,-0.0674427
383976,-0.000976562,0,1.00098,-0.023514,-0.187039,-0.128478
383996,-0.00170898,-0.000488281,1.00073,-0.0845492,-0.00393391,-0.158995
384026,-0.0012207,-0.000732422,1.00195,-0.0540316,-0.156522,-0.0369251
384046,-0.000732422,-0.000488281,1.00073,0.129074,-0.0649691,-0.0064075
384056,-0.000732422,-0.000488281,1.00098,0.00700355,-0.126004,-0.0674427
384066,-0.000732422,-0.000732422,1.00098,-0.023514,-0.0954866,-0.0064075
384076,-0.000488281,-0.000732422,1.00073,0.00700355,-0.0954866,-0.0674427
384086,-0.000488281,-0.000732422,1.00122,0.159591,0.0571012,-0.158995
384096,-0.000732422,-0.000488281,1.00146,0.0375211,-0.0954866,-0.220031
384106,-0.000244141,-0.000488281,1.00171,0.0985563,-0.0954866,-0.0369251
384116,-0.000244141,-0.000488281,1.00171,0.0680387,-0.156522,-0.158995
384126,0,-0.000488281,1.00122,-0.0540316,-0.278592,-0.0369251
384136,0.000244141,-0.000488281,1.00122,0.00700355,-0.156522,-0.0674427
384166,-0.000244141,-0.000244141,1.00073,0.00700355,-0.156522,-0.0674427
384186,0,-0.000244141,1.00049,-0.023514,-0.278592,-0.158995
384196,0,0,1.00024,0.129074,0.0265837,-0.0064075
384216,-0.000244141,-0.000244141,0.999756,0.0680387,-0.0344515,0.0241101
384226,-0.000244141,0.000244141,1.00049,0.190109,0.0571012,-0.0369251
384236,-0.000732422,0.000244141,1.00024,0.129074,-0.0649691,-0.0674427
384246,-0.000488281,0.000244141,1.00073,0.190109,-0.0649691,-0.0064075
384256,-0.0012207,0.000244141,1.00049,0.0985563,-0.0649691,-0.0064075
384266,-0.00146484,0,1.00024,0.00700355,0.0876188,-0.0674427
384276,-0.0012207,0,1.00049,0.00700355,-0.0344515,-0.128478
384286,-0.00146484,0,1.00073,0.0985563,-0.0344515,0.0241101
384366,-0.000976562,0,1.00049,-0.023514,-0.00393391,-0.128478
384406,-0.0012207,-0.000244141,1.00049,0.0375211,-0.00393391,-0.250548
384436,-0.000976562,0,1,0.0985563,-0.0649691,-0.189513
384526,-0.00170898,-0.000732422,1.00073,-0.0845492,-0.00393391,-0.0979602
384566,-0.000976562,-0.0012207,1.00073,0.0985563,-0.0649691,-0.158995
384576,-0.000976562,-0.00146484,1.00146,0.00700355,-0.0649691,-0.128478
384746,-0.000976562,-0.0012207,1.00049,0.190109,-0.0954866,-0.0674427
384956,-0.000488281,-0.000244141,1.00049,0.0985563,-0.0344515,-0.128478
385036,-0.000488281,-0.000732422,1.00024,0.0680387,-0.248075,-0.158995
385076,-0.000244141,-0.000488281,1.00049,0.0985563,0.0876188,-0.128478
385156,-0.000976562,-0.000488281,1.00122,0.159591,-0.0649691,-0.0674427
385176,-0.00146484,-0.000732422,1.00098,0.0680387,-0.0954866,-0.0979602
385246,-0.00146484,-0.000732422,1,-0.145584,-0.187039,-0.281066
385286,-0.000976562,-0.000732422,1.00122,-0.023514,-0.0954866,0.0241101
385316,-0.00146484,-0.000732422,1.00049,0.129074,-0.0954866,-0.128478
385326,-0.00170898,-0.000732422,1.00024,0.00700355,0.0265837,-0.0064075
385336,-0.00170898,-0.000732422,1.00049,0.0985563,-0.156522,0.0546277
385346,-0.00170898,-0.000732422,1.00024,0.0985563,-0.126004,-0.0674427
385356,-0.00170898,-0.000488281,1.00049,0.0680387,-0.0954866,0.14618
385366,-0.000976562,-0.000732422,1.00024,0.0680387,-0.0344515,-0.158995
385376,-0.0012207,-0.000488281,1.00049,0.0985563,-0.00393391,-0.128478
385386,-0.0012207,0,1.00024,0.00700355,-0.00393391,-0.0674427
385396,-0.0012207,0.000244141,1.00122,-0.0845492,-0.00393391,-0.158995
385406,-0.0012207,0,1.00024,0.0680387,-0.0344515,-0.0674427
385416,-0.0012207,0,1.00049,0.0375211,-0.0344515,-0.0979602
385426,-0.000976562,0.000244141,1.00049,-0.023514,-0.0954866,-0.0979602
385436,-0.000976562,0.000244141,0.999756,0.129074,-0.0344515,-0.220031
385446,-0.000976562,0.000244141,0.999756,0.0375211,-0.00393391,-0.158995
385456,-0.000976562,0,0.999512,0.00700355,0.148654,-0.0674427
385466,-0.000976562,-0.000244141,0.999268,0.220627,-0.0649691,-0.220031
385476,-0.000976562,-0.000732422,0.999512,-0.023514,-0.0649691,-0.0979602
385486,-0.000976562,-0.000244141,0.999512,0.129074,-0.156522,-0.0674427
385496,-0.0012207,-0.000244141,1.00049,0.251144,-0.0649691,-0.0674427
385506,-0.000976562,-0.000244141,1.00098,0.00700355,-0.0954866,-0.158995
385516,-0.00146484,-0.000244141,1.00122,-0.023514,-0.0954866,-0.189513
385546,-0.00146484,-0.000244141,1.00073,0.0375211,0.0265837,-0.0674427
385806,-0.000488281,-0.000244141,1.00049,0.0680387,-0.187039,-0.250548
385816,-0.000732422,-0.000244141,1.00049,0.00700355,-0.0649691,-0.0979602
385836,-0.000976562,-0.000244141,1.00024,0.0985563,0.0265837,0.0241101
385876,-0.00146484,-0.000732422,1.00073,-0.023514,0.0876188,-0.158995
385996,-0.0012207,-0.000732422,1.00049,0.0680387,-0.217557,-0.189513
386036,-0.000976562,-0.000244141,1.00098,0.00700355,-0.156522,-0.0979602
386066,-0.000732422,-0.000976562,1.00073,-0.0845492,-0.0954866,-0.0979602
386086,-0.000732422,-0.000732422,1.00024,-0.0540316,-0.187039,-0.128478
386106,-0.000488281,-0.000732422,1.00098,0.159591,-0.156522,-0.220031
386126,-0.000244141,-0.000488281,1,-0.023514,0.0571012,-0.0674427
386186,-0.000976562,-0.000732422,1.00024,0.00700355,-0.00393391,-0.0369251
386206,-0.000976562,-0.000244141,1.00024,0.0985563,0.0571012,-0.0979602
386236,-0.0012207,-0.000244141,1.00098,0.159591,-0.156522,-0.0674427
386276,-0.000732422,-0.000488281,1.00122,0.220627,-0.156522,-0.0979602
386296,-0.000488281,-0.000732422,1.00122,0.129074,-0.0344515,-0.0979602
386326,-0.000732422,-0.000732422,1.00146,0.0985563,-0.187039,-0.0674427
386366,-0.000732422,-0.000488281,1.00122,0.00700355,0.0571012,-0.0979602
386406,-0.00146484,-0.000488281,1.00098,0.159591,-0.0954866,-0.128478
386496,-0.000732422,-0.000488281,1.00073,0.0375211,-0.187039,-0.0674427
386516,-0.000976562,-0.000732422,1.00024,-0.0540316,0.0876188,-0.0674427
386526,-0.0012207,-0.000732422,1.00049,0.0985563,-0.217557,-0.128478
386536,-0.000976562,-0.000488281,0.999756,0.0985563,-0.0344515,-0.189513
386546,-0.000976562,-0.000732422,1.00073,0.0375211,-0.0954866,-0.189513
386626,-0.000976562,-0.000488281,1.00024,0.00700355,-0.0954866,-0.128478
386646,-0.000976562,-0.000244141,1.00098,0.0985563,-0.0954866,-0.220031
386656,-0.000488281,-0.000244141,1.00171,0.0985563,-0.187039,-0.0979602
386666,-0.000488281,-0.000244141,1.00171,0.0680387,-0.0344515,-0.0979602
386676,-0.000488281,-0.000244141,1.00122,0.0985563,-0.00393391,-0.0674427
386686,-0.000488281,-0.000244141,1.00073,0.0680387,-0.0649691,-0.128478
386696,-0.000732422,-0.000488281,1.00122,0.129074,-0.0954866,-0.0674427
386706,-0.000732422,-0.000488281,1.00146,0.129074,-0.0649691,-0.220031
386716,-0.000488281,-0.000244141,1.00146,0.00700355,-0.00393391,-0.158995
386726,-0.000976562,0,1.00073,-0.0540316,-0.156522,-0.0674427
386736,-0.000732422,-0.000244141,1.00073,0.00700355,-0.0649691,-0.128478
386746,-0.000976562,0,1.00098,0.159591,-0.0954866,-0.0369251
386756,-0.0012207,0.000244141,1.00073,0.00700355,-0.126004,-0.0979602
386786,-0.000976562,-0.000488281,1.00024,0.0680387,-0.00393391,-0.0369251
386796,-0.000976562,-0.000732422,1.00049,0.00700355,-0.126004,-0.158995
386806,-0.000488281,-0.000488281,1.00024,0.0375211,-0.0649691,-0.220031
386816,-0.000488281,0,1,-0.023514,-0.00393391,-0.189513
386846,-0.000732422,0.000244141,0.999756,0.0375211,-0.126004,-0.128478
386886,-0.0012207,0,1.00122,0.129074,-0.0649691,0.0241101
386906,-0.0012207,0,1.00049,0.0680387,-0.126004,-0.220031
386916,-0.000976562,-0.000244141,1.00098,0.0680387,0.0265837,-0.0674427
386926,-0.000488281,-0.000488281,1.00122,-0.023514,-0.126004,-0.0369251
386986,-0.000488281,-0.000732422,1.00171,0.0680387,-0.0344515,-0.0674427
387006,-0.000732422,-0.000732422,1.00049,0.0985563,-0.156522,-0.189513
387036,-0.000976562,-0.000488281,1.00049,0.0680387,-0.00393391,-0.0369251
387086,-0.000732422,0,1.00073,0.129074,-0.0649691,-0.281066
387106,-0.000732422,0,1.00122,0.0680387,0.0571012,-0.128478
387136,-0.000732422,-0.000732422,1.00122,0.0375211,-0.0649691,-0.220031
387166,-0.000488281,-0.000244141,1.00024,0.0985563,-0.126004,0.0546277
387296,-0.0012207,-0.000488281,1.00073,0.0375211,-0.156522,-0.0979602
387376,-0.000488281,-0.000732422,1,-0.023514,-0.00393391,-0.0064075
387406,-0.000976562,-0.000488281,1.00073,0.0680387,-0.0344515,-0.158995
387426,-0.000732422,-0.000488281,1.00098,0.0375211,-0.0649691,-0.0979602
387506,-0.000976562,-0.000244141,1.00073,0.00700355,-0.0954866,-0.0674427
387546,-0.000488281,-0.000244141,1.00073,-0.0540316,-0.0649691,-0.0979602
387616,-0.0012207,-0.000976562,1,0.00700355,-0.0649691,-0.220031
387646,-0.000732422,-0.000488281,0.999756,0.00700355,-0.0344515,-0.0674427
387686,-0.000732422,-0.000732422,1,-0.0540316,-0.156522,-0.0369251
387776,-0.000244141,-0.000244141,1.00024,0.00700355,-0.0344515,-0.128478
387826,-0.000732422,-0.000244141,1.00146,0.129074,-0.187039,-0.0369251
387876,-0.000976562,-0.000488281,1.00073,0.0680387,-0.156522,-0.0064075
387926,-0.000488281,-0.000732422,1.00146,0.00700355,-0.126004,-0.158995
387936,-0.000732422,-0.000976562,1.00073,0.159591,0.118136,-0.158995
387956,-0.000488281,-0.0012207,0.999756,-0.023514,-0.0344515,-0.281066
387966,-0.000732422,-0.0012207,1,0.00700355,-0.0344515,-0.158995
387986,-0.000976562,-0.000732422,0.999268,0.00700355,-0.0954866,-0.128478
387996,-0.000976562,-0.000488281,0.999512,0.0375211,-0.0649691,-0.128478
388006,-0.000732422,-0.000488281,1,0.0680387,0.0571012,0.0241101
388016,-0.000732422,-0.000244141,1.00073,-0.023514,-0.126004,-0.128478
388026,-0.000732422,-0.000244141,1.00122,-0.0845492,-0.217557,-0.0979602
388036,-0.000244141,-0.000244141,1.00146,0.0375211,-0.0954866,0.0851452
388046,-0.000244141,0,1.00171,0.129074,-0.0344515,-0.0674427
388056,-0.000488281,-0.000488281,1.00049,0.0375211,-0.0649691,-0.128478
388076,-0.000488281,-0.000976562,1.00024,0.0375211,-0.0954866,-0.158995
388086,-0.0012207,-0.000732422,1.00073,0.159591,-0.0344515,-0.128478
388116,-0.000976562,-0.000732422,1.00098,0.129074,-0.156522,-0.158995
388126,-0.000976562,-0.000732422,1.00024,0.220627,-0.00393391,-0.0369251
388136,-0.000732422,-0.000732422,1.00049,0.0985563,-0.187039,-0.128478
388176,-0.000976562,-0.000488281,0.999512,-0.023514,0.0265837,-0.158995
388186,-0.000976562,-0.000732422,1.00024,-0.023514,-0.126004,-0.0979602
388206,-0.000732422,-0.000732422,1.00024,0.0680387,0.0265837,-0.0979602
388216,-0.000732422,-0.000732422,1.00049,0.0375211,-0.0344515,-0.250548
388316,-0.000732422,0,0.999268,0.0375211,-0.0954866,-0.128478
388346,-0.000976562,-0.000244141,0.999023,0.00700355,-0.00393391,-0.220031
388366,-0.000488281,-0.000244141,0.999756,0.159591,-0.0344515,-0.158995
388456,-0.000488281,-0.000732422,1.00098,0.0680387,0.0876188,-0.0369251
388516,-0.000976562,-0.000732422,1.00024,0.0985563,-0.0954866,-0.0979602
388716,-0.000976562,-0.00146484,0.999512,0.0680387,-0.126004,-0.158995
388806,-0.000976562,-0.000976562,1.00049,-0.176102,-0.0649691,-0.0674427
388846,-0.000732422,-0.000732422,0.999268,-0.176102,-0.156522,0.0241101
388856,-0.000976562,-0.000976562,0.999756,0.159591,-0.0954866,-0.0674427
388936,-0.000976562,-0.000488281,1.00024,0.159591,-0.0954866,-0.189513
388966,-0.000976562,-0.000976562,1.00049,0.159591,-0.0344515,-0.189513
388976,-0.000976562,-0.000976562,1.00049,0.00700355,-0.126004,-0.128478
389086,-0.000488281,-0.000732422,1.00049,-0.0540316,-0.217557,-0.0674427
389126,0,-0.00170898,0.999756,0.129074,-0.126004,-0.158995
389136,-0.000244141,-0.00146484,1.00024,-0.0540316,-0.156522,-0.0369251
389196,-0.000244141,-0.0012207,1,-0.0540316,-0.126004,-0.128478
389216,-0.000244141,-0.000732422,1.00049,-0.115067,0.0876188,-0.0369251
389256,-0.000488281,-0.000732422,1.00024,-0.0845492,-0.156522,-0.220031
389296,-0.000976562,-0.000244141,1.00098,0.0375211,-0.0649691,-0.189513
389306,-0.000976562,-0.000732422,1.00122,0.220627,0.0876188,-0.0369251
