t,accx,accy,accz,gyrox,gyroy,gyroz
45614,-0.000732422,-0.000244141,0.996826,-0.00292063,-0.0152588,0.115454
45624,-0.000244141,0,0.996582,-0.124991,-0.0457764,-0.00661612
45634,-0.000732422,-0.000488281,0.996826,0.0581145,0.0152588,0.0239015
45644,-0.000976562,-0.000488281,0.996826,0.027597,0.0152588,-0.128686
45654,-0.000976562,-0.000488281,0.996338,-0.0334382,0.0762939,-0.0676513
45664,-0.000976562,-0.000244141,0.996338,0.0581145,0.0457764,-0.0676513
45674,-0.000976562,-0.000488281,0.996094,-0.216544,-0.0457764,-0.189722
45684,-0.000732422,-0.000732422,0.99585,0.149667,-0.0762939,-0.0981688
45694,-0.000488281,-0.000976562,0.996582,-0.0334382,0.0457764,-0.00661612
45704,-0.000488281,-0.000976562,0.996582,-0.0639558,0.0457764,-0.0676513
45714,-0.000244141,-0.000732422,0.99585,0.027597,-0.0762939,0.0849366
45724,0,-0.000244141,0.996582,-0.0639558,0.0762939,0.0239015
45734,0,-0.000244141,0.99707,-0.0334382,0.198364,-0.128686
45744,-0.000488281,-0.000244141,0.997314,0.0886321,-0.0762939,-0.0676513
45754,-0.000488281,-0.000488281,0.996826,0.0581145,-0.137329,0.207007
45764,-0.000976562,-0.000488281,0.996094,-0.00292063,0.0457764,0.0239015
45774,-0.000732422,-0.000244141,0.996094,0.149667,-0.0152588,0.0239015
45784,-0.000488281,-0.000244141,0.996094,0.0886321,0.0457764,-0.0371337
45794,-0.000488281,-0.000244141,0.996338,-0.00292063,-0.106812,-0.0371337
45804,-0.000488281,0.000244141,0.996826,0.271738,0.0457764,0.0239015
45814,-0.000488281,0,0.997803,0.0886321,0.106812,-0.0676513
45824,-0.000244141,0,0.998291,-0.00292063,-0.0152588,0.0239015
45834,-0.000732422,-0.000244141,0.998291,0.0581145,-0.106812,0.0239015
45844,-0.000244141,0,0.997559,0.0581145,0.0762939,0.115454
45854,0,-0.000244141,0.997803,-0.0639558,-0.0152588,-0.0371337
45864,-0.000244141,0,0.997803,-0.124991,-0.0457764,0.0849366
45874,-0.000732422,0.000488281,0.996826,0.0886321,-0.0457764,-0.159204
45884,-0.000488281,0.000488281,0.996582,0.180185,0.0762939,-0.0676513
45894,-0.000488281,0.000488281,0.996094,-0.124991,-0.0152588,-0.0676513
45904,-0.000488281,0.000244141,0.996094,0.11915,0.0762939,0.0239015
45914,-0.000732422,0,0.996582,-0.0944734,-0.0152588,-0.00661612
45924,-0.000732422,-0.000244141,0.99707,-0.0334382,0.0457764,-0.0676513
45934,-0.000488281,0.000244141,0.996826,-0.00292063,0.106812,-0.0371337
45944,-0.000976562,0.000244141,0.997314,-0.00292063,-0.0152588,0.115454
45954,-0.000732422,-0.000244141,0.997314,0.149667,-0.0762939,-0.0371337
45964,-0.000488281,-0.000244141,0.997559,0.0886321,-0.0457764,0.237525
45974,-0.000488281,-0.000244141,0.997559,-0.0334382,0.0762939,-0.0371337
45984,-0.000732422,-0.000488281,0.997559,-0.124991,-0.0457764,0.176489
45994,-0.000732422,-0.000488281,0.997559,0.149667,-0.0152588,-0.00661612
46004,-0.000488281,-0.000244141,0.997314,-0.0334382,0.106812,0.0239015
46014,-0.000732422,0,0.99707,-0.00292063,-0.0457764,0.115454
46024,-0.000732422,0,0.996826,0.0581145,-0.0457764,-0.00661612
46034,-0.000488281,-0.000244141,0.997314,0.11915,0.0457764,-0.00661612
