t,accx,accy,accz,gyrox,gyroy,gyroz
11080,0.000732422,0,0.999512,0.0815094,-0.015974,0.0706017
11090,0.000488281,0,0.999023,0.0815094,-0.0464916,0.284225
11100,0.000244141,0,0.999512,-0.0100434,0.228167,-0.0514686
11110,0.000244141,-0.000244141,0.999512,-0.040561,0.0755787,-0.020951
11120,0.000732422,-0.000244141,0.999512,-0.0710785,0.0145435,-0.020951
11130,0.000244141,0,1,0.0815094,0.0450611,0.101119
11140,0.000488281,-0.000488281,1,-0.040561,0.0145435,0.0400841
11150,0,-0.000488281,0.999756,0.20358,0.0145435,0.0706017
11170,0,-0.000732422,0.998535,-0.101596,0.0145435,0.0400841
11180,0.000244141,-0.000488281,0.998291,-0.0100434,-0.015974,0.0706017
11190,0.000244141,-0.000732422,0.998779,-0.101596,-0.015974,0.00956655
11200,-0.000244141,-0.000244141,0.999023,0.0204742,0.167131,-0.020951
11220,-0.000244141,-0.000244141,0.998535,0.0204742,-0.0464916,0.0706017
11230,-0.000244141,-0.000244141,0.998779,0.142545,-0.107527,0.00956655
11240,0.000244141,-0.000244141,0.999268,0.0509918,0.0755787,-0.112504
11250,-0.000244141,-0.000244141,0.999023,0.112027,-0.138044,0.00956655
11260,-0.000244141,-0.000488281,0.999268,0.0509918,-0.015974,0.0706017
11280,-0.000488281,0.000244141,0.999756,0.112027,-0.0770092,-0.0819862
11290,-0.000244141,0.000244141,0.999512,-0.040561,0.0145435,0.101119
11300,0,0.000244141,0.999756,0.0204742,0.136614,-0.112504
11310,0,0.000732422,0.999512,0.0509918,0.0450611,0.00956655
11330,0.000244141,0.000488281,0.999268,-0.0710785,0.0450611,-0.020951
11340,0.000244141,0,0.999756,0.0815094,0.0145435,-0.143021
11350,0.000244141,0.000244141,0.999756,0.0204742,-0.0464916,-0.143021
11360,0.000244141,0.000244141,0.999512,-0.101596,0.106096,0.00956655
11370,0.000488281,0,0.999268,0.0509918,0.167131,-0.0514686
11380,0.000488281,-0.000244141,0.999268,-0.040561,0.0450611,0.101119
11390,0.000244141,0,0.999512,0.0509918,-0.015974,0.0400841
11400,0.000488281,-0.000244141,0.999512,0.0815094,0.0145435,0.00956655
11410,0.000732422,-0.000244141,0.999512,0.234097,-0.0464916,-0.020951
11420,0.0012207,-0.000244141,0.999512,-0.0100434,-0.138044,0.101119
11430,0.000732422,0.000244141,0.999268,-0.101596,0.136614,-0.020951
11440,0.000976562,0.000244141,0.999512,0.0815094,0.0450611,0.101119
11450,0.000976562,0,1,-0.0100434,-0.0770092,-0.0514686
